Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value
AAPL,Apple Inc,Common stocks,Large cap,Information Technology,"$2,865,693,839,600",0.50%,29.04,7.57,40.6
MSFT,Microsoft Corp,Common stocks,Large cap,Information Technology,"$2,329,276,399,180",0.76%,33.22,12.6,14.78
GOOG,Alphabet Inc Class C,Common stocks,Large cap,Communication Services,"$1,916,810,491,712",0.00%,11.89,7.44,3.59
GOOGL,Alphabet Inc Class A,Common stocks,Large cap,Communication Services,"$1,916,810,491,712",0.00%,11.27,7.44,3.41
AMZN,Amazon.Com Inc.,Common stocks,Large cap,Consumer Discretionary,"$1,719,797,425,362",0.00%,51.65,3.66,12.46
TSLA,Tesla Inc,Common stocks,Large cap,Consumer Discretionary,"$1,096,496,536,008",0.00%,200.08,20.37,36.58
BRK.B,Berkshire Hathaway Inc. Class B,Common stocks,Large cap,Financials,"$794,424,088,901",0.00%,5.09,2.24,0.9
NVDA,Nvidia Corp,Common stocks,Large cap,Information Technology,"$708,296,900,000",0.06%,73.75,26.32,27.03
FB,Facebook Inc Class A,Common stocks,Large cap,Communication Services,"$638,125,888,620",0.00%,13.48,5.41,4.25
V,Visa Inc Class A,Common stocks,Large cap,Information Technology,"$486,577,080,000",0.63%,29.08,19.1,10.45
UNH,Unitedhealth Group Inc,Common stocks,Large cap,Health Care,"$482,869,441,727",1.12%,27.8,1.69,6.7
JNJ,Johnson & Johnson,Common stocks,Large cap,Health Care,"$467,562,756,537",2.36%,22.38,4.99,6.31
JPM,JP Morgan Chase & Co,Common stocks,Large cap,Financials,"$415,962,199,604",2.67%,8.96,3.42,1.42
WMT,Walmart Stores Inc,Common stocks,Large cap,Consumer Staples,"$404,986,254,868",1.50%,29.87,0.71,4.91
PG,Procter & Gamble,Common stocks,Large cap,Consumer Staples,"$372,381,570,388",2.24%,25.93,4.75,8.43
BAC,Bank of America Corp,Common stocks,Large cap,Financials,"$351,224,428,718",1.85%,11.47,3.94,1.3
XOM,Exxon Mobil Corp,Common stocks,Large cap,Energy,"$350,583,789,045",4.15%,15.14,1.27,2.07
MA,Mastercard Inc Class A,Common stocks,Large cap,Information Technology,"$339,880,476,683",0.52%,41.03,18,48.28
HD,Home Depot Inc,Common stocks,Large cap,Consumer Discretionary,"$324,761,216,943",2.16%,19.98,2.15,-193.58
CVX,Chevron Corp,Common stocks,Large cap,Energy,"$323,975,499,107",3.22%,20.48,2.08,2.3
PFE,Pfizer Inc,Common stocks,Large cap,Health Care,"$300,913,423,229",2.91%,13.55,3.69,3.85
ABBV,Abbvie Inc,Common stocks,Large cap,Health Care,"$286,085,169,140",3.23%,24.82,5.09,18.59
LLY,Eli Lilly,Common stocks,Large cap,Health Care,"$277,761,562,769",1.20%,49.21,9.81,30.59
KO,Coca-Cola,Common stocks,Large cap,Consumer Staples,"$268,422,885,446",2.71%,27.58,6.94,11.72
AVGO,Broadcom Inc.,Common stocks,Large cap,Information Technology,"$258,392,986,870",2.97%,34.78,9.07,11.4
DIS,Walt Disney,Common stocks,Large cap,Communication Services,"$252,558,266,358",0.00%,84.11,3.46,2.88
COST,Costco Wholesale Corp,Common stocks,Large cap,Consumer Staples,"$250,514,800,951",0.56%,45.82,1.19,12.65
PEP,Pepsico Inc,Common stocks,Large cap,Consumer Staples,"$229,147,072,243",2.57%,30.53,2.88,14.5
CSCO,Cisco Systems Inc,Common stocks,Large cap,Information Technology,"$229,060,823,520",2.66%,19.56,4.44,5.86
TMO,Thermo Fisher Scientific Inc,Common stocks,Large cap,Health Care,"$228,139,128,346",0.19%,30.02,5.82,5.69
